Date,Forecast,Lower_95,Upper_95
2020-07-28,2456904.0,2440933.0,2471787.0
2020-07-29,2497350.0,2481807.0,2513473.0
2020-07-30,2537127.0,2520040.0,2553199.0
2020-07-31,2577556.0,2561160.0,2594617.0
2020-08-01,2615255.0,2595417.0,2634648.0
2020-08-02,2648178.0,2626846.0,2666498.0
2020-08-03,2680543.0,2653813.0,2704173.0
2020-08-04,2718137.0,2687641.0,2744215.0
2020-08-05,2758583.0,2725658.0,2786873.0
2020-08-06,2798361.0,2758255.0,2834140.0
2020-08-07,2838789.0,2798272.0,2881254.0
2020-08-08,2876488.0,2833355.0,2922168.0
2020-08-09,2909411.0,2855399.0,2956911.0
2020-08-10,2941776.0,2885539.0,2995584.0
2020-08-11,2979371.0,2916742.0,3040057.0
2020-08-12,3019816.0,2953255.0,3081182.0
2020-08-13,3059594.0,2987482.0,3130724.0
2020-08-14,3100022.0,3021696.0,3172359.0
2020-08-15,3137721.0,3051240.0,3216083.0
2020-08-16,3170645.0,3080219.0,3256520.0
2020-08-17,3203009.0,3105502.0,3290288.0
2020-08-18,3240604.0,3133891.0,3337336.0
2020-08-19,3281049.0,3166590.0,3382227.0
2020-08-20,3320827.0,3206905.0,3431518.0
2020-08-21,3361256.0,3241093.0,3473866.0
2020-08-22,3398955.0,3266555.0,3519229.0
2020-08-23,3431878.0,3296386.0,3570797.0
2020-08-24,3464242.0,3317865.0,3605115.0
2020-08-25,3501837.0,3349933.0,3649742.0
2020-08-26,3542283.0,3381793.0,3696516.0
