Date,Forecast,Lower_95,Upper_95
2020-07-28,16349181.0,16203188.0,16509106.0
2020-07-29,16560723.0,16415011.0,16714140.0
2020-07-30,16776594.0,16624743.0,16941716.0
2020-07-31,16993702.0,16825567.0,17161993.0
2020-08-01,17202149.0,17028588.0,17383527.0
2020-08-02,17402108.0,17223475.0,17580603.0
2020-08-03,17598852.0,17401340.0,17822710.0
2020-08-04,17791065.0,17563400.0,18026771.0
2020-08-05,18002606.0,17770879.0,18266189.0
2020-08-06,18218478.0,17946067.0,18511912.0
2020-08-07,18435585.0,18118374.0,18757597.0
2020-08-08,18644033.0,18303203.0,19006877.0
2020-08-09,18843992.0,18485220.0,19251322.0
2020-08-10,19040736.0,18614909.0,19515109.0
2020-08-11,19232948.0,18770293.0,19713944.0
2020-08-12,19444490.0,18929448.0,20025517.0
2020-08-13,19660362.0,19138768.0,20272284.0
2020-08-14,19877469.0,19297014.0,20565498.0
2020-08-15,20085916.0,19468497.0,20797666.0
2020-08-16,20285875.0,19625973.0,21026722.0
2020-08-17,20482620.0,19761863.0,21325755.0
2020-08-18,20674832.0,19887482.0,21581173.0
2020-08-19,20886374.0,20086011.0,21830014.0
2020-08-20,21102245.0,20219463.0,22036631.0
2020-08-21,21319353.0,20420118.0,22355895.0
2020-08-22,21527800.0,20545529.0,22685410.0
2020-08-23,21727759.0,20682754.0,22864166.0
2020-08-24,21924503.0,20875604.0,23097638.0
2020-08-25,22116716.0,21006781.0,23362869.0
2020-08-26,22328258.0,21137781.0,23637680.0
