Date,Forecast,Lower_95,Upper_95
2020-07-28,1365413.0,1315671.0,1419496.0
2020-07-29,1393053.0,1340020.0,1443778.0
2020-07-30,1420968.0,1369232.0,1470995.0
2020-07-31,1449054.0,1399177.0,1498273.0
2020-08-01,1476632.0,1421269.0,1530598.0
2020-08-02,1504613.0,1450254.0,1555550.0
2020-08-03,1531948.0,1477485.0,1588360.0
2020-08-04,1553604.0,1502322.0,1611783.0
2020-08-05,1581244.0,1521638.0,1636731.0
2020-08-06,1609159.0,1547628.0,1667832.0
2020-08-07,1637245.0,1578438.0,1699146.0
2020-08-08,1664823.0,1596408.0,1733233.0
2020-08-09,1692804.0,1629317.0,1762526.0
2020-08-10,1720139.0,1645423.0,1794088.0
2020-08-11,1741795.0,1668659.0,1822461.0
2020-08-12,1769435.0,1687174.0,1850330.0
2020-08-13,1797350.0,1715092.0,1886516.0
2020-08-14,1825436.0,1735183.0,1910996.0
2020-08-15,1853014.0,1756134.0,1951765.0
2020-08-16,1880995.0,1781846.0,1988235.0
2020-08-17,1908330.0,1806456.0,2023371.0
2020-08-18,1929986.0,1818917.0,2048667.0
2020-08-19,1957626.0,1839654.0,2084907.0
2020-08-20,1985541.0,1874886.0,2120294.0
2020-08-21,2013627.0,1881003.0,2148236.0
2020-08-22,2041205.0,1900344.0,2177923.0
2020-08-23,2069186.0,1924526.0,2214557.0
2020-08-24,2096521.0,1943436.0,2254490.0
2020-08-25,2118177.0,1959648.0,2287165.0
2020-08-26,2145817.0,1972347.0,2309436.0
