Date,Forecast,Lower_95,Upper_95
2020-07-28,4245977.0,4185182.0,4309119.0
2020-07-29,4302167.0,4240382.0,4362342.0
2020-07-30,4360768.0,4295648.0,4424286.0
2020-07-31,4420266.0,4355648.0,4490018.0
2020-08-01,4475929.0,4407152.0,4541648.0
2020-08-02,4529516.0,4451043.0,4606878.0
2020-08-03,4582593.0,4500333.0,4662200.0
2020-08-04,4633894.0,4539042.0,4716468.0
2020-08-05,4690084.0,4598209.0,4776555.0
2020-08-06,4748685.0,4638423.0,4841879.0
2020-08-07,4808182.0,4681103.0,4916448.0
2020-08-08,4863846.0,4715870.0,4980824.0
2020-08-09,4917433.0,4760400.0,5043604.0
2020-08-10,4970510.0,4792579.0,5120715.0
2020-08-11,5021811.0,4835675.0,5174039.0
2020-08-12,5078001.0,4867701.0,5248607.0
2020-08-13,5136602.0,4912717.0,5335209.0
2020-08-14,5196099.0,4953365.0,5397620.0
2020-08-15,5251763.0,4991299.0,5483270.0
2020-08-16,5305350.0,5028424.0,5555005.0
2020-08-17,5358427.0,5058842.0,5630063.0
2020-08-18,5409728.0,5082786.0,5708316.0
2020-08-19,5465918.0,5129924.0,5766220.0
2020-08-20,5524519.0,5167262.0,5834567.0
2020-08-21,5584016.0,5210453.0,5903895.0
2020-08-22,5639680.0,5249460.0,6005579.0
2020-08-23,5693267.0,5274142.0,6079547.0
2020-08-24,5746344.0,5287524.0,6157543.0
2020-08-25,5797645.0,5326043.0,6211220.0
2020-08-26,5853834.0,5358090.0,6305737.0
